"No.","Time","Source","Destination","Protocol","Length","Info"
"30","1.677416","12:a2:db:5b:74:d8","Broadcast","ARP","42","ARP Announcement for 172.25.2.40"
"31","1.787871","fe80::4cde:e6ff:fe0c:28a5","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"32","1.811904","fe80::4cde:e6ff:fe0c:28a5","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::4cde:e6ff:fe0c:28a5"
"33","1.813095","172.25.2.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"34","1.928820","fe80::484f:c0ff:fe76:ffb6","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"35","2.120860","fe80::4cde:e6ff:fe0c:28a5","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"36","2.584054","172.25.2.1","224.0.0.251","MDNS","119","Standard query response 0x0000 PTR, cache flush debian.local A, cache flush 172.25.2.1"
"37","2.660779","172.25.2.1","224.0.0.251","MDNS","180","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::484f:c0ff:fe76:ffb6"
"38","2.660846","fe80::484f:c0ff:fe76:ffb6","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::484f:c0ff:fe76:ffb6"
"39","2.851992","fe80::4cde:e6ff:fe0c:28a5","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::4cde:e6ff:fe0c:28a5"
"40","3.503273","172.25.2.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"41","3.929990","fe80::484f:c0ff:fe76:ffb6","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"42","4.122616","fe80::4cde:e6ff:fe0c:28a5","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"43","4.504137","172.25.2.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"44","4.701592","172.25.2.1","224.0.0.251","MDNS","180","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::484f:c0ff:fe76:ffb6"
"45","4.701632","fe80::484f:c0ff:fe76:ffb6","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::484f:c0ff:fe76:ffb6"
"46","4.892781","fe80::4cde:e6ff:fe0c:28a5","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::4cde:e6ff:fe0c:28a5"
"47","5.083954","fe80::4cde:e6ff:fe0c:28a5","ff02::2","ICMPv6","70","Router Solicitation from 4e:de:e6:0c:28:a5"
"48","5.504196","172.25.2.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"49","5.814379","172.25.2.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"50","6.503738","172.25.2.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"51","6.503814","172.25.2.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"52","6.504965","172.25.2.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"53","7.504588","172.25.2.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"54","7.504880","172.25.2.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
